route,rows,mean_chars,median_chars,p90_chars,max_chars,mean_words,median_words,p90_words,max_words
chunk_candidate,271,17090.664206642068,14414.0,31596.0,32759,3143.162361623616,2631.0,5706.0,6237
direct,471,2630.8216560509554,2168.0,4822.0,7742,463.62420382165607,371.0,871.0,1473
